date,latitude,cloud_type,rh_percent,temperature_c,solar_energy_kwh_m2,predicted_liters_per_day
2025-05-11,43.6532,3.0,65.0,12.0,4.01646963221989,3.4072251146725714
2025-05-11,43.6532,4.0,65.0,12.0,3.2944985020414506,2.827482297139285
2025-05-11,43.6532,5.0,65.0,12.0,3.2944985020414506,2.827482297139285
2025-05-11,43.6532,6.0,65.0,12.0,3.242417650737191,2.785661373541964
2025-05-11,43.6532,7.0,65.0,12.0,4.0789765061483525,3.4574181344371273
2025-05-11,43.6532,8.0,65.0,12.0,4.05853384161355,3.441002674815681
2025-05-11,43.6532,9.0,65.0,12.0,4.03840057758634,3.424835663801831
2025-05-11,43.6532,10.0,65.0,12.0,4.03840057758634,3.424835663801831
2025-05-16,43.6532,0.0,65.0,12.0,8.316650981716007,6.860270738317954
2025-05-16,43.6532,1.0,65.0,12.0,8.312696581331497,6.857095354809193
2025-05-16,43.6532,2.0,65.0,12.0,6.08438813960508,5.06776367610288
2025-05-16,43.6532,3.0,65.0,12.0,4.250298966787661,3.5949900703304922
2025-05-16,43.6532,4.0,65.0,12.0,3.4479742506010926,2.9507233232326775
2025-05-16,43.6532,5.0,65.0,12.0,3.4479742506010926,2.9507233232326775
2025-05-16,43.6532,6.0,65.0,12.0,3.3156566276696524,2.8444722720187308
2025-05-16,43.6532,7.0,65.0,12.0,4.011807174161974,3.403481160852065
2025-05-16,43.6532,8.0,65.0,12.0,3.989683596844422,3.3857159282660714
2025-05-16,43.6532,9.0,65.0,12.0,3.970992142076614,3.370706690087521
2025-05-16,43.6532,10.0,65.0,12.0,3.9709921420766134,3.3707066900875207
2025-05-21,43.6532,0.0,65.0,12.0,8.469931370041772,6.983354890143544
2025-05-21,43.6532,1.0,65.0,12.0,8.466372207061797,6.980496882270623
2025-05-21,43.6532,2.0,65.0,12.0,6.0573624945530335,5.0460620831260865
2025-05-21,43.6532,3.0,65.0,12.0,4.003156205504644,3.3965344330202294
2025-05-21,43.6532,4.0,65.0,12.0,3.198166040515498,2.750127330533945
2025-05-21,43.6532,5.0,65.0,12.0,3.198166040515497,2.750127330533944
2025-05-21,43.6532,6.0,65.0,12.0,3.202343361878634,2.7534817195885433
2025-05-21,43.6532,7.0,65.0,12.0,3.9897275657611937,3.3857512353062384
2025-05-21,43.6532,8.0,65.0,12.0,3.996596029035935,3.3912666113158556
